d,chi_PS,chi_PC,J_tot,J_tot_err
4,0.5,-1.25,7.7173,0.0177
10,0.5,-1.25,23.4871,0.0568
16,0.5,-1.25,37.8336,0.247
10,0.3,-1.5,16.0219,0.0384
12,0.3,-1.5,14.3025,0.0358
14,0.3,-1.5,7.9092,0.0212
16,0.3,-1.5,1.8923,0.0057
8,0.3,-1.5,14.0949,0.033
6,0.3,-1.5,10.9856,0.0018
4,0.3,-1.5,8.5315,0.0012
8,0.1,-2.0,35.146,0.0812
12,0.1,-2.0,54.8079,0.1392
16,0.1,-2.0,56.6125,1.7755
20,0.1,-2.0,1.84,5.0
18,0.1,-2.0,40.3837,2.1726
14,0.1,-2.0,58.1557,0.5443
4,0.1,-1.5,6.5787,0.0063
4,0.1,-2.0,12.5677,0.0287
6,0.1,-2.0,21.755,0.0028
10,0.3,-1.75,46.8653,0.1363
4,0.1,-1.75,9.0709,0.0208
6,0.1,-1.5,5.7728,0.0034
6,0.1,-1.75,11.6507,0.0269
8,0.1,-1.75,14.1156,0.033
10,0.1,-1.75,14.2061,0.034
12,0.1,-1.75,9.8666,0.0245
14,0.1,-1.75,3.3862,0.0089
16,0.1,-1.75,0.4119,0.0011
18,0.1,-1.75,0.0144,0.0005
4,0.3,-1.75,12.31,0.0281
6,0.3,-1.75,21.8729,0.0501
8,0.3,-1.75,35.5921,0.082
10,0.3,-1.75,46.8666,0.1091
12,0.3,-1.75,53.1488,0.8342
14,0.3,-1.75,56.2245,0.3548
20,0.3,-1.75,56.7624,1.5648
8,0.5,-1.5,35.3318,0.0054
10,0.1,-2.0,47.0241,0.0091
4,0.1,-1.5,6.5782,0.0039
6,0.1,-1.5,5.7728,0.0034
8,0.1,-1.5,3.983,0.0048
10,0.1,-1.5,1.7241,0.0045
12,0.1,-1.5,0.3609,0.0002
14,0.1,-1.5,0.0296,0.0001
16,0.1,-1.5,0.0008,0.0
18,0.1,-1.5,0.0001,0.0
4,0.3,-2.0,17.4088,0.002
6,0.3,-2.0,34.8416,0.0038
8,0.3,-2.0,49.1113,0.0053
10,0.3,-2.0,54.9096,0.2211
12,0.3,-2.0,56.5831,1.6547
22,0.3,-1.75,9.6679,17.62
4,0.3,-1.25,5.978,0.0009
6,0.3,-1.25,4.9904,0.001
8,0.3,-1.25,3.3905,0.0009
10,0.3,-1.25,1.5395,0.0006
12,0.3,-1.25,0.3753,0.0003
14,0.3,-1.25,0.0407,0.0001
16,0.3,-1.25,0.0017,0.0
4,0.3,-1.0,4.2882,0.0007
6,0.3,-1.0,2.2836,0.0005
8,0.3,-1.0,0.7792,0.0003
10,0.3,-1.0,0.1398,0.0001
12,0.3,-1.5,14.2459,0.0059
16,0.3,-1.5,1.883,0.002
8,0.5,-0.75,0.4633,0.0002
12, 0.3, -1.0, 0.0112, 0.0001
12, 0.3, -0.75, 0.0005, 1e-06
